id,stream,action_date,fiscal_year,case_number,subject_as_published,company,provisions,provisions_as_published,penalty_amount,press_release_url,source_url
"shitauke-2024-11-12-0246","shitauke","2024-11-12","2024","","株式会社ＫＡＤＯＫＡＷＡ及び株式会社ＫＡＤＯＫＡＷＡ ＬｉｆｅＤｅｓｉｇｎ","株式会社ＫＡＤＯＫＡＷＡ及び株式会社ＫＡＤＯＫＡＷＡ ＬｉｆｅＤｅｓｉｇｎ","第4条第1項第5号","第 4 条第 1 項第 5 号（買いたたきの禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"dk-2024-10-31-0030","dk","2024-10-31","2024","6(措)18","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0029","dk","2024-10-31","2024","6(措)17","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0028","dk","2024-10-31","2024","6(措)16","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0027","dk","2024-10-31","2024","6(措)15","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0026","dk","2024-10-31","2024","6(措)14","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0025","dk","2024-10-31","2024","6(措)13","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0024","dk","2024-10-31","2024","6(措)12","損害保険会社ら","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0023","dk","2024-10-31","2024","6(措)11","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"dk-2024-10-31-0022","dk","2024-10-31","2024","6(措)10","損害保険会社","","3条後段","3条後段","","","https://www.jftc.go.jp/dk/ichiran/dkhaijo_R6.html"
"shitauke-2024-10-25-0247","shitauke","2024-10-25","2024","","カバー株式会社","カバー株式会社","第4条第2項第4号","第 4 条第 2 項第 4 号（不当な給付内容の変更及び不当なやり直しの禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"shitauke-2024-10-23-0248","shitauke","2024-10-23","2024","","ナイス株式会社","ナイス株式会社","第4条第1項第3号","第 4 条第 1 項第 3 号（下請代金の減額の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
"shitauke-2024-09-26-0249","shitauke","2024-09-26","2024","","ＳＡＮＥＩ株式会社","ＳＡＮＥＩ株式会社","第4条第1項第3号 / 第4条第2項第3号","第 4 条第 1 項第 3 号（下請代金の減額の禁止） 第 4 条第 2 項第 3 号（不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/shitauke/shitaukekankoku/R6FYkankoku.html"
